STwardcode,POLY_ID,O,E,SMR,RR.HET,resRR.HET,probaresRR.HET
00AEGR,71,29,27.63194812,1.049509788,1.025765575,1.04149845,0.581
00AEGS,72,22,33.3945702,0.658789733,0.77507105,0.7869444,0.054
00AEGT,73,35,31.69091393,1.104417502,1.071764075,1.08818185,0.701
00AEGU,74,22,30.84673237,0.713203581,0.812434675,0.8248664,0.096
00AEGW,75,16,29.73148283,0.538150085,0.70300425,0.713745975,0.015
00AEGX,76,21,33.84125369,0.620544386,0.7439603,0.755342675,0.0305
00AEGY,77,27,29.10828219,0.927571054,0.954442125,0.96907815,0.39375
00AEGZ,78,17,32.71072137,0.519707279,0.68430745,0.694785775,0.01
00AEHA,79,37,31.35494012,1.180037336,1.125116,1.142318525,0.81225
00AEHB,80,33,30.66228915,1.076240585,1.05284125,1.06897725,0.6495
00AEHC,81,24,33.01340456,0.72697743,0.817303525,0.8298384,0.10075
00AEHD,82,26,32.24081093,0.806431329,0.865743175,0.8789868,0.17925
00AEHE,83,17,25.40233399,0.669229844,0.795911375,0.80807145,0.08125
00AEHF,84,36,24.94084895,1.443415181,1.29827865,1.318160025,0.96025
00AFGD,85,38,52.91017669,0.71819832,0.785199425,0.79721325,0.03675
00AFGE,86,23,27.96311731,0.822512016,0.879551225,0.89298605,0.21725
00AFGF,87,41,48.40036891,0.847100981,0.88173095,0.8952544,0.18825
00AFGG,88,45,45.24450236,0.994595976,0.9935503,1.008765275,0.50375
00AFGH,89,37,51.32196389,0.720938896,0.785091075,0.7971451,0.0395
00AFGJ,90,38,60.55882332,0.627489075,0.710651975,0.7215628,0.005
00AFGK,91,50,39.41404803,1.268583221,1.2013998,1.219863925,0.9345
00AFGL,92,24,49.39804645,0.485849173,0.6203132,0.6298201,0.00025
00AFGM,93,53,47.69652378,1.111192091,1.08476135,1.101371125,0.7675
00AFGN,94,63,55.49759177,1.135184393,1.1074747,1.124439975,0.82775
00AFGP,95,21,22.5776869,0.930121854,0.959678625,0.974373425,0.4115
00AFGQ,96,17,18.93840116,0.897647054,0.940256825,0.9546204,0.366
00AFGR,97,54,61.36766743,0.879942195,0.9014565,0.91530255,0.209
00AFGS,98,46,56.66576498,0.811777623,0.849016025,0.8620447,0.10175
00AFGT,99,29,54.88732969,0.52835509,0.642471175,0.652308725,0
00AFGU,100,42,31.42477471,1.336525095,1.236265825,1.255235625,0.9345
00AFGW,101,49,60.55404134,0.809194546,0.846060625,0.8590131,0.09525
00AFGX,102,53,36.89994915,1.436316342,1.325009475,1.34528435,0.98775
00AFGY,103,29,51.53139141,0.562763768,0.6709852,0.681254575,0.003
00AFGZ,104,46,45.82391688,1.003842603,1.000659925,1.016024225,0.52825
00AFHA,105,18,36.63566452,0.491324512,0.65781565,0.6678792,0.0015
00AFHB,106,57,55.06756506,1.035092072,1.025014725,1.040749125,0.62025
00AGGD,107,22,27.7177948,0.793713936,0.8647654,0.878014625,0.1765
00AGGE,108,15,20.96986292,0.715312258,0.8363999,0.849188,0.1615
00AGGF,109,31,27.20254389,1.139599301,1.087353875,1.104001425,0.7375
00AGGG,110,22,20.68307528,1.063671611,1.043146225,1.059120175,0.605
00AGGH,111,18,22.85180792,0.787683848,0.87292885,0.8862696,0.21325
